Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,0,16/02/2018 08:27:23,112640768,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633341,56300000,138.5929291,56300000,56300000,113000000,56300000,138.5929291,56300000,56300000,0,0,0,0,0,0,0,0,0,0,0,0.026633341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56300000,138.5929291,56300000,56300000,Benign
0,0,16/02/2018 08:30:12,112641773,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633104,56300000,263.7508294,56300000,56300000,113000000,56300000,263.7508294,56300000,56300000,0,0,0,0,0,0,0,0,0,0,0,0.026633104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56300000,263.7508294,56300000,56300000,Benign
35605,6,16/02/2018 08:26:55,20784143,23,44,2416,1344,240,64,105.0434783,54.5422924,64,0,30.54545455,32.33649716,180.9071464,3.223611385,314911.2576,1145953.758,9058214,66,20700000,940484.2727,1898330.299,9144734,66,20700000,482352.2093,1396411.114,9058214,41601,1,0,0,0,460,880,1.106612863,2.116998521,0,240,56.23529412,53.85168068,2900.003512,0,1,0,0,1,0,0,0,1,57.07462687,105.0434783,30.54545455,0,0,0,0,0,0,23,2416,44,1344,263,255,22,20,2624734,0,2624734,2624734,9058214,0,9058214,9058214,Benign
0,0,16/02/2018 08:33:01,112640836,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633325,56300000,82.02438662,56300000,56300000,113000000,56300000,82.02438662,56300000,56300000,0,0,0,0,0,0,0,0,0,0,0,0.026633325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56300000,82.02438662,56300000,56300000,Benign
23,6,16/02/2018 08:27:59,20,1,1,0,0,0,0,0,0,0,0,0,0,0,100000,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,50000,50000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,58856,0,0,20,0,0,0,0,0,0,0,0,Benign
0,0,16/02/2018 08:35:50,112641178,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633244,56300000,5.656854249,56300000,56300000,113000000,56300000,5.656854249,56300000,56300000,0,0,0,0,0,0,0,0,0,0,0,0.026633244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56300000,5.656854249,56300000,56300000,Benign
0,0,16/02/2018 08:38:39,112641264,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633224,56300000,7.071067812,56300000,56300000,113000000,56300000,7.071067812,56300000,56300000,0,0,0,0,0,0,0,0,0,0,0,0.026633224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56300000,7.071067812,56300000,56300000,Benign
0,0,16/02/2018 08:41:28,112641525,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633162,56300000,17.67766953,56300000,56300000,113000000,56300000,17.67766953,56300000,56300000,0,0,0,0,0,0,0,0,0,0,0,0.026633162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56300000,17.67766953,56300000,56300000,Benign
0,0,16/02/2018 08:44:17,112641414,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633188,56300000,63.63961031,56300000,56300000,113000000,56300000,63.63961031,56300000,56300000,0,0,0,0,0,0,0,0,0,0,0,0.026633188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56300000,63.63961031,56300000,56300000,Benign
0,0,16/02/2018 08:47:06,112641379,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633197,56300000,30.40559159,56300000,56300000,113000000,56300000,30.40559159,56300000,56300000,0,0,0,0,0,0,0,0,0,0,0,0.026633197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56300000,30.40559159,56300000,56300000,Benign
23,6,16/02/2018 08:38:02,24,1,1,0,0,0,0,0,0,0,0,0,0,0,83333.33333,24,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,41666.66667,41666.66667,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,58856,0,0,20,0,0,0,0,0,0,0,0,Benign
